en_name,cn_name
Bomber (Brazil) (Unl),nan
Bomboy (Taiwan) (En) (Unl),nan
"Bonanza Bros. (Japan, Europe) (Rev A)",nan
"Bonanza Bros. (Japan, Europe)",nan
"Bonanza Bros. (USA, Europe, Korea) (Rev B)",nan
"Bonkers (USA, Europe) (Beta) (1994-03-03)",邦卡猫大冒险
"Bonkers (USA, Europe) (Beta) (1994-03-28)",邦卡猫大冒险
"Bonkers (USA, Europe) (Beta) (1994-08-04)",邦卡猫大冒险
"Bonkers (USA, Europe) (Beta) (1994-08-25)",邦卡猫大冒险
"Bonkers (USA, Europe) (Beta) (1994-08-29)",邦卡猫大冒险
"Bonkers (USA, Europe)",邦卡猫大冒险
Boogerman - A Pick and Flick Adventure (Europe),nan
Boogerman - A Pick and Flick Adventure (USA),nan
Boogie Woogie Bowling (Japan),nan
Boxing Legends of the Ring (USA),拳击
Bram Stoker's Dracula (Europe),nan
Bram Stoker's Dracula (USA),nan
Brett Hull Hockey 95 (USA),赫尔曲棍球'95
Brian Lara Cricket (Australia),布莱恩板球
Brian Lara Cricket (Europe),布莱恩板球
Brian Lara Cricket 96 (Europe),布莱恩板球96欧1
"Brutal - Paws of Fury (Europe) (En,Fr,De)",动物快打
Brutal - Paws of Fury (USA),动物快打
Bubba 'N' Stix (Europe),nan
Bubba 'N' Stix (USA),nan
Bubba N Stix (Europe) (Beta),布巴与史地克欧
Bubble and Squeak (Europe),nan
Bubble and Squeak (USA),nan
"Bubsy II (USA, Europe)",nan
"Bubsy in - Claws Encounters of the Furred Kind (USA, Europe)",nan
"Buck Rogers - Countdown to Doomsday (USA, Europe)",别克罗杰最终审判
Budokan - The Martial Spirit (Europe) (Beta) (1990-09-25),武道馆~大和魂
Budokan - The Martial Spirit (Europe),武道馆~大和魂
Budokan - The Martial Spirit (USA),武道馆~大和魂
"Bug's Life, A (Taiwan) (En) (Unl)",nan
"Bugs Bunny in Double Trouble (Europe) (En,Fr,De,Es,It)",宾尼兔~危机重重
Bugs Bunny in Double Trouble (USA),宾尼兔~危机重重
"Bulls versus Blazers and the NBA Playoffs (USA, Europe)",nan
"Bulls vs Lakers and the NBA Playoffs (USA, Europe)",nan
Burning Force (Europe),燃烧战队
Burning Force (Japan),燃烧战队
Burning Force (USA),燃烧战队
"Cadash (USA, Asia, Korea)",斩魔传美亚洲
Caesar no Yabou (Japan),nan
Caesar no Yabou II (Japan),nan
Caesars Palace (USA),凯撒赌城美
Cal Ripken Jr. Baseball (USA),nan
Caliber.50 (USA),卡尔50-超猛火力
"California Games (USA, Europe)",游戏加州美
Cannon Fodder (Europe),炮灰向前冲
Captain America and the Avengers (Europe),美军上尉与复仇者
Captain America and the Avengers (USA) (Beta),美军上尉与复仇者
Captain America and the Avengers (USA),美军上尉与复仇者
"Captain Lang (Japan) (En,Ja)",nan
Captain Planet and the Planeteers (Asia) (En),外星指挥官
Captain Planet and the Planeteers (Europe),外星指挥官
Cascade (World) (Unl),nan
"Castle of Illusion Starring Mickey Mouse (USA, Europe)",米老鼠奇幻城堡(UE)
Castlevania - Bloodlines (USA) (Beta) (1993-08-04),恶魔城血继界限美
Castlevania - Bloodlines (USA),恶魔城血继界限美
