en_name,cn_name
Hyper Wars (Japan) (SAAS),世纪战争 （日版） (SAAS)
Hyper Wars (Japan) (SABS),世纪战争 （日版） (SABS)
Hypernova Blast (USA) (Unl),超新星爆发 （美版） （非官方版）
Iga Ninden Gaiou (Japan),伊賀忍伝凱王 （日版）
ImageFight II - Operation Deepstriker (Japan),梦幻战机2 （日版）
Implode (USA) (Unl),内爆 （美版） （非官方版）
In Magical Adventure - Fray CD - Xak Gaiden (Japan),萨克外传 （日版）
Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi (Japan),井上麻美～这颗星球上唯一的你～ （日版）
Insanity (USA) (Unl),精神失常 （美版） （非官方版）
IQ Panic (Japan),智商恐慌 （日版）
It Came from the Desert (USA),沙丘魔蚁 （美版）
"J. B. Harold Murder Club (USA) (En,Ja)","刑事J.B.哈罗德事件簿杀人俱乐部 （美版） (En,Ja)"
J. B. Harold Series 1 - Murder Club (Japan),刑事J.B.哈罗德事件簿杀人俱乐部 （日版）
J. League Tremendous Soccer '94 (Japan),J联盟足球'94 （日版）
Jack Nicklaus Turbo Golf (USA),杰克尼可拉斯高尔夫 （美版）
Jack Nicklaus' World Tour Golf - 162 Holes (Japan),杰克尼可拉斯高尔夫世界巡回赛 （日版）
Jantei Monogatari (Japan),雀侦物语 （日版）
Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan),雀侦物语2 ～宇宙探偵ディバン～　完結編 （日版）
Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou-hen (Japan),雀侦物语2 ～宇宙探偵ディバン～　出动編 （日版）
Jantei Monogatari 3 - Saver Angels (Japan),雀侦物语3 拯救天使 （日版）
Jim Power in Mutant Planet (Japan),吉姆力量在突变的星球上 （日版）
John Madden Duo CD Football (USA) (RE),约翰·马登足球 （美版） (RE)
Juuouki (Japan) (Rev 4),兽王记 （日版） （修正版 4）
Juuouki (Japan) (Rev 5),兽王记 （日版） （修正版 5）
Kabuki Ittouryoudan (Japan),一刀凉谈 （日版）
Kagami no Kuni no Legend (Japan),镜之国的传说 （日版）
Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan),改造超人3 异界的公主 （日版）
Kakutou Haou Densetsu - Algunos (Japan),格斗霸王传说 （日版）
Kawa no Nushitsuri - Shizen-ha (Japan),川釣高手 自然派 （日版）
Kaze Kiri - Ninja Action (Japan),风雾 忍者行动 （日版）
Kaze no Densetsu Xanadu (Japan) (Demo),风之传说 （日版） （演示版）
Kiaidan 00 (Japan),机甲战士00（日版）
"Kick Boxing, The (Japan)",拳击 （日版）
Kisou Louga (Japan) (FABT),機装ルーガ （日版） (FABT)
Kisou Louga II - The Ends of Shangrila (Japan),機装ルーガ2 （日版）
KO Seiki Beast Sanjuushi - Gaia Fukkatsu - Kanketsu-hen (Japan),KO世纪野兽士～盖亚复活～完结篇 （日版）
Kuusou Kagaku Sekai Gulliver Boy (Japan),空想科学世界 （日版）
L-Dis (Japan),undefined
Lady Phantom (Japan) (FABT),幻影女郎 （日版） (FABT)
Langrisser - Hikari no Matsuei (Japan),梦幻模拟战 光辉的末裔 （日版）
Laplace no Ma (Japan),拉普拉斯之魔 （日版）
Laser Soft Visual Collection Vol. 1 - Cosmic Fantasy Visual-shuu (Japan),漫画幻想视觉集 （日版）
Laser Soft Visual Collection Vol. 2 - Valis Visual-shuu (Japan),梦幻战士视觉集 （日版）
Last Alert (USA),最后警戒 （美版）
Last Armageddon (Japan) (Rev 5),女超人蕾拉 （日版） （修正版 5）
