en_name,cn_name
From Russia with Love - 007,詹姆斯邦德007-来自俄罗斯的爱
Valkyrie Profile - Lenneth,北欧女神-蕾娜斯
Bleach - Heat the Soul 3,死神-灵魂升温3
Blade Dancer - Lineage of Light,剑舞者-千年之约定
Crash Tag Team Racing,古惑狼赛车 团队竞速
King's Field - Additional I,国王密令-附加版1
Capcom Classics Collection Remixed,卡普空经典游戏合集
Shin Sangoku Musou - 2nd Evolution,真三国无双-二度进化
Loco Roco,乐克乐克
SOCOM - U.S. Navy SEALs - Fireteam Bravo,海豹突击队-火线小组
Bomberman - Portable,炸弹人 携带版
Ultraman - Fighting Evolution 0,奥特曼-格斗进化0
Portable Island - Tenohira Resort,随身胜地
Win-JPT - Primary,PSP 多媒体学习软件
Tekken - Dark Resurrection,铁拳-黑暗复苏
Juiced - Eliminator,极品醉车-消除器
Finder Love - Aki Hoshino - Nankoku Trouble Rendezvous,寻找爱-星野亚纪
Miami Vice - The Game,迈阿密风云
Formula 1 - 06,F1格兰披治大赛2006
Tekken - Dark Resurrection,铁拳-黑暗复苏
Field Commander,战地指挥官
Derby Stallion P,德比赛马P
Densha de Go! Pocket - Tokaidosen Hen,电车GO! 口袋版-东海道线篇
Piposaru Academia 2,比波猴学院2
Crash Tag Team Racing,古惑狼赛车 团队竞速
Goku Makaimura,极 魔界村
Every Extend Extra,音乐爆破
SD Gundam G Generation Portable,SD高达G世纪 携带版
"Lord of the Rings - Tactics, The",指环王-战略版
Carnage Heart Portable,杀戮之心 携带版
Grand Theft Auto - Liberty City Stories (v2),侠盗猎车-自由城的故事(v2)
Simple 2500 Series Portable Vol. 3 - The Doko Demo Suiri,廉价2500系列Vol.3-无处不在的推理 IT探侦 全68事件簿
Finder Love - Hara Fumina - Fuari no Futaride,寻找爱-原史奈
Dynasty Warriors,真三国无双
Micro Machines V4,微型机器V4
Bounty Hounds,赏金猎犬
Cars,汽车总动员
Warai no Tamago L Size,笑蛋
Gitaroo Man Lives!,吉他小子
Koukaku Kidoutai - Stand Alone Complex - Kariudo no Ryouiki,攻壳机动队-猎人的领域
