en_name,cn_name
Home - A Unique Horror Adventure,凶宅 [英文版]
Lego Ninjago: Shadow of Ronin,乐高幻影忍者：浪人之影 [英文版]
Fantasy Hero: Unsigned Legacy,幻想英雄：未被继承的遗产 [英文版]
Jetpack Joyride Deluxe,火箭飞人 豪华完整版 [中英文版]
AQUA KITTY - Milk Mine Defender DX,水猫猫：奶工保卫战 DX [英文版]
Rock Boshers DX: Director's Cut,碎石者：导演剪辑版 [英文版]
Desert Ashes,大漠尘埃 [英文版]
Retro City Rampage DX,荒野老城 DX [英文版]
Grim Fandango Remastered,冥界狂想曲 重制版 [英文版]
Ring Run Circus,环形马戏团 [英文版]
HTR+ Slot Car Simulation,模拟玩具赛车 [英文版]
Pix the Cat,贪吃猫 [英文版]
The Walking Dead: Season Two - A Telltale Games Series,行尸走肉：全系列 第二季 [英文版]
Pocket RPG,口袋世界 [英文版]
"Don't Die, Mr. Robot!",别死！机器人先生 [英文版]
Q*bert: Rebooted,Q伯特重启 [英文版]
Poltergeist: A Pixelated Horror,驱魔人：像素恐怖 [英文版]
Flame Over,火中英雄 [中英文版]
La-Mulana EX,穆拉纳秘宝 [英文版]
Hyperdevotion Noire: Goddess Black Heart,超女神信仰诺瓦露：激神黑心 [英文版]
BADLAND: Game of the Year Edition,迷失之地 年度版 [英文版]
Stealth Inc 2: A Game of Clones,前行公司 2：克隆游戏 [英文版]
Minutes,分钟 [英文版]
SpongeBob HeroPants,海绵宝宝：英雄裤子 [英文版]
Deadman's Cross,僵尸卡片 [英文版]
Operation Abyss: New Tokyo Legacy,东京新世录：作战深渊 [英文版]
Adventure Time: The Secret of the Nameless Kingdom,探险活宝：无名城堡的秘密 [英文版]
SteamWorld Heist,蒸汽世界：大抢劫 [英文版]
Atelier Ayesha Plus ~The Alchemist of Dusk~,亚莎的炼金工房 Plus：黄昏大地的炼金术士 [英文版]
Krinkle Krusher,啃货来袭 [英文版]
Broken Sword 5 - the Serpent's Curse: Episode 2,断剑 5：毒蛇的诅咒 第二章 [英文版]
Lego Jurassic World,乐高侏罗纪世界 [英文版]
Hyperdimension Neptunia U: Action Unleashed,超次元海王星 U：战斗释放 [英文版]
Severed,断绝 [中日英韩文版]
Sketchcross,Sketchcross [英文版]
"Jungle Rumble: Freedom, Happiness, and Bananas",丛林之争：自由、快乐和香蕉 [英文版]
J-STARS Victory VS+,Jump全明星乱斗+ [英文版]
Titan Souls,泰坦之魂 [英文版]
AQUA KITTY - Milk Mine Defender DX (Soundtrack),水猫猫：奶工保卫战 DX 原声 [英文版]
Boss!,魔王 [英文版]
Skullgirls 2nd Encore,骷髅女孩：再度返场 [英文版]
Resident Evil: Revelations 2,生化危机：启示录 2 [英文版]
Element4l,四元素大冒险 [英文版]
SnagFilms,SnagFilms（应用软件） [英文版]
Color Guardians,色彩守护者 [英文版]
Nihilumbra,诅咒世界大冒险 [英文版]
Vertical Drop Heroes HD (3.61+!) [3.61],堕落的英雄 高清版 [需3.61及以上系统版本 | 英文版]
Octodad: Dadliest Catch,章鱼奶爸：致命捕捉 [英文版]
XBlaze Lost: Memories,X苍炎：失去的记忆 [英文版]
AeternoBlade,阿泰诺神剑 [英文版]
Retro City Rampage DX,荒野老城 DX [英文版]
The Sun and Moon,太阳与月亮 [英文版]
Whispering Willows,灵界女孩 [英文版]
2013: Infected Wars,2013：病毒战争 [英文版]
Invokers Tournament,召唤师比赛 [英文版]
One Piece: Pirate Warriors 3,海贼王：海贼无双 3 [英文版]
Dengeki Bunko: Fighting Climax,电击文库：格斗巅峰 [英文版]
Shovel Knight,铲子骑士 [中英文版]
Breach & Clear,突破行动 [英文版]
Scram Kitty DX,急停猫 DX [英文版]
